round_number,date,location,home_team,away_team,home_score,away_score,win_odd
1,10/2019 ,Coopers Stadium,Adelaide United,Sydney FC,2,3,1
1,10/2019 ,Bankwest Stadium,Western Sydney Wanderers FC,Central Coast Mariners,2,1,1
1,10/2019 ,Marvel Stadium,Melbourne Victory,Melbourne City FC,0,0,0
1,10/2019 ,Sky Stadium,Wellington Phoenix,Western United FC,0,1,1
1,10/2019 ,HBF Park,Perth Glory,Brisbane Roar FC,1,1,1
2,10/2019 ,Marvel Stadium,Melbourne Victory,Western Sydney Wanderers FC,1,2,1
2,10/2019 ,GMHBA Stadium,Western United FC,Perth Glory,1,1,1
2,10/2019 ,Central Coast Stadium,Central Coast Mariners,Newcastle Jets,1,1,1
2,10/2019 ,AAMI Park,Melbourne City FC,Adelaide United,2,1,1
2,10/2019 ,Leichhardt Oval,Sydney FC,Wellington Phoenix,2,1,1
3,10/2019 ,Suncorp Stadium,Brisbane Roar FC,Melbourne Victory,0,1,1
3,10/2019 ,McDonald Jones Stadium,Newcastle Jets,Adelaide United,1,2,1
3,10/2019 ,Bankwest Stadium,Western Sydney Wanderers FC,Sydney FC,1,0,1
3,10/2019 ,Sky Stadium,Wellington Phoenix,Perth Glory,1,2,1
3,10/2019 ,GMHBA Stadium,Western United FC,Melbourne City FC,1,2,1
4,11/2019 ,Leichhardt Oval,Sydney FC,Newcastle Jets,4,1,1
4,11/2019 ,Bankwest Stadium,Western Sydney Wanderers FC,Brisbane Roar FC,0,0,0
4,11/2019 ,Marvel Stadium,Melbourne Victory,Western United FC,2,3,1
4,11/2019 ,AAMI Park,Melbourne City FC,Wellington Phoenix,3,2,1
4,11/2019 ,HBF Park,Perth Glory,Central Coast Mariners,1,2,1
5,11/2019 ,AAMI Park,Melbourne City FC,Central Coast Mariners,3,1,1
5,11/2019 ,McDonald Jones Stadium,Newcastle Jets,Perth Glory,1,1,1
5,11/2019 ,GMHBA Stadium,Western United FC,Western Sydney Wanderers FC,2,1,1
5,11/2019 ,AAMI Park,Melbourne Victory,Wellington Phoenix,1,1,1
5,11/2019 ,Coopers Stadium,Adelaide United,Brisbane Roar FC,1,0,1
6,11/2019 ,Central Coast Stadium,Central Coast Mariners,Adelaide United,1,3,1
6,11/2019 ,GMHBA Stadium,Western United FC,Newcastle Jets,0,1,1
6,11/2019 ,Dolphin Stadium,Brisbane Roar FC,Melbourne City FC,4,3,1
6,11/2019 ,Netstrata Jubilee Stadium,Sydney FC,Melbourne Victory,2,1,1
